benchmark;datasize;time_ms_event;time_ms_chrono;throughput
usm_add;256;0.005333;1.752;-
usm_add;1024;0.00525;1.736;-
usm_add;4096;0.00675;1.736;-
usm_add;16384;0.012666;1.697;-
usm_add;131072;0.083333;2.04;-
add;256;0.006416;2.75;-
add;1024;0.01275;2.57;-
add;4096;0.0075;2.683;-
add;16384;0.013666;2.738;-
add;131072;0.08325;3.602;-
usm_add;256;0.005416;1.877;-
usm_add;1024;0.005166;1.715;-
usm_add;4096;0.00725;1.703;-
usm_add;16384;0.013083;1.749;-
usm_add;131072;0.110583;1.938;-
add;256;0.006666;2.62;-
add;1024;0.006083;2.633;-
add;4096;0.007666;2.752;-
add;16384;0.01425;2.912;-
add;131072;0.093416;3.255;-
usm_add;262144;0.186583;2.256;-
usm_add;1048576;0.566333;2.69;-
usm_add;4194304;2.123;4.064;-
usm_add;16777216;7.47583;9.444;-
usm_add;134217728;58.9552;61.858;-
add;262144;0.194083;4.654;-
add;1048576;0.810583;7.088;-
add;4194304;2.04117;18.667;-
add;16777216;7.414;63.142;-
add;134217728;61.198;452.98;-
usm_add;262144;0.181666;2.182;-
usm_add;1048576;0.589333;2.62;-
usm_add;4194304;2.00192;3.863;-
usm_add;16777216;7.85983;9.978;-
usm_add;134217728;59.3439;62.347;-
add;262144;0.209666;4.692;-
add;1048576;0.803583;7.354;-
add;4194304;2.04875;18.494;-
add;16777216;7.67008;59.731;-
add;134217728;59.2567;450.554;-
